name,start_month,start_day,end_month,end_day,year,peak_classification,wind_speed_mph,wind_speed_kmh,pressure_hPa,pressure_inHg,areas_affected,eastern_seaboard,gulf_coast,caribbean,central_america,deaths,damage,start_date,end_date,adj_factor,damage_inflation_adjusted,name_date,previous_storms,landfall
Carol,August,25,September,1,1954,3,115,185,955,28.2,"Northeastern United States, Canada",3,0,0,0,60,462000000,1954-08-25,1954-09-01,9.51,4393620000,Carol_1954-08-25,1953,yes
Edna,September,5,September,11,1954,3,125,205,943,27.85,"New England, Atlantic Canada",2,0,TS,0,21,42000000,1954-09-05,1954-09-11,9.49,398580000,Edna_1954-09-05,1953,yes
Hazel,October,5,October,15,1954,4,130,210,938,27.7,"The Caribbean, Eastern United States, Canada",4,0,3,0,581,382000000,1954-10-05,1954-10-15,9.49,3625180000,Hazel_1954-10-05,1953,yes
Connie,August,3,August,15,1955,4,140,220,944,27.88,"Mid-Atlantic states, New England",2,0,0,0,25,40000000,1955-08-03,1955-08-15,9.51,380400000,Connie_1955-08-03,,
Diane,August,7,August,21,1955,2,105,165,969,28.61,"Mid-Atlantic states, New England",1,0,0,0,184,831000000,1955-08-07,1955-08-21,9.51,7902810000,Diane_1955-08-07,,
Ione,September,10,September,21,1955,4,140,220,938,27.7,North Carolina,2,0,0,0,7,88000000,1955-09-10,1955-09-21,9.51,836880000,Ione_1955-09-10,,
Janet,September,21,September,30,1955,5,175,280,914,26.99,"Lesser Antilles, Central America",0,0,2,5,1023,47800000,1955-09-21,1955-09-30,9.51,454578000,Janet_1955-09-21,,
Audrey,June,25,June,29,1957,3,125,205,946,27.94,Southern United States,0,3,0,0,416,150000000,1957-06-25,1957-06-29,9.07,1360500000,Audrey_1957-06-25,,
Donna,August,29,September,14,1960,4,145,230,930,27.46,"The Caribbean, Eastern United States",4,0,4,0,164,400000000,1960-08-29,1960-09-14,8.62,3448000000,Donna_1960-08-29,,
Carla,September,3,September,16,1961,5,175,280,931,27.49,"Texas, Louisiana, Midwestern United States",0,4,0,0,46,408000000,1961-09-03,1961-09-16,8.52,3476160000,Carla_1961-09-03,1956,no
Hattie,October,27,November,1,1961,5,160,260,920,27.17,Central America,0,0,0,5,319,60300000,1961-10-27,1961-11-01,8.52,513756000,Hattie_1961-10-27,,
Flora,September,26,October,12,1963,4,145,230,940,27.76,The Caribbean,0,0,4,0,7193,529000000,1963-09-26,1963-10-12,8.32,4401280000,Flora_1963-09-26,1955;1959,no;no
Cleo,August,20,September,5,1964,4,155,250,950,28.06,"The Caribbean, Southeastern United States",2,0,4,0,217,198000000,1964-08-20,1964-09-05,8.21,1625580000,Cleo_1964-08-20,1958;1960,no;no
Dora,August,28,September,14,1964,4,140,220,942,27.82,Southeastern United States,3,0,0,0,5,250000000,1964-08-28,1964-09-14,8.21,2052500000,Dora_1964-08-28,1956,yes
Hilda,September,28,October,4,1964,4,150,240,941,27.79,Southern United States,0,3,TS,0,38,125000000,1964-09-28,1964-10-04,8.21,1026250000,Hilda_1964-09-28,1955,yes
Betsy,August,27,September,14,1965,4,155,250,941,27.79,"Bahamas, Southeastern United States",0,4,3,0,75,1420000000,1965-08-27,1965-09-14,8.09,11487800000,Betsy_1965-08-27,1956;1961,yes;no
Inez,September,21,October,11,1966,4,150,240,929,27.43,"The Caribbean, Florida, Mexico",0,0,4,3,710,616000000,1966-09-21,1966-10-11,7.85,4835600000,Inez_1966-09-21,,
Beulah,September,5,September,22,1967,5,160,260,921,27.2,"The Caribbean, Mexico, Texas",0,5,4,2,59,208000000,1967-09-05,1967-09-22,7.64,1589120000,Beulah_1967-09-05,1959;1963,yes;no
Camille,August,14,August,22,1969,5,175,280,900,26.58,"Cuba, United States Gulf Coast",TD,5,2,0,256,1420000000,1969-08-14,1969-08-22,6.95,9869000000,Camille_1969-08-14,,
Celia,July,31,August,5,1970,3,125,205,945,27.91,"Cuba, United States Gulf Coast",0,3,TD,0,20,930000000,1970-07-31,1970-08-05,6.56,6100800000,Celia_1970-07-31,1962;1966,no;yes
Agnes,June,14,June,23,1972,1,85,140,977,28.85,"Mexico, Cuba, Eastern United States",TS,1,TS,TD,124,2100000000,1972-06-14,1972-06-23,6.1,12810000000,Agnes_1972-06-14,,
Carmen,August,29,September,10,1974,4,150,240,928,27.4,"Central America, Mexico,United States Gulf Coast",0,4,TD,4,8,162000000,1974-08-29,1974-09-10,5.17,837540000,Carmen_1974-08-29,,
Fifi,September,14,September,24,1974,2,110,180,971,28.67,"Jamaica, Central America, Mexico",0,0,TS,2,8200,1800000000,1974-09-14,1974-09-24,5.17,9306000000,Fifi_1974-09-14,1958,no
Eloise,September,13,September,24,1975,3,125,205,955,28.2,"The Caribbean, Yucatán Peninsula, Florida",0,3,1,TS,80,550000000,1975-09-13,1975-09-24,4.74,2607000000,Eloise_1975-09-13,,
Anita,August,29,September,4,1977,5,175,280,926,27.34,Mexico,0,0,0,5,10,47800000,1977-08-29,1977-09-04,4.21,454578000,Anita_1977-08-29,,
Greta,September,13,September,23,1978,4,130,215,947,27.96,"The Caribbean, Central America, Mexico",0,0,TS,4,5,26000000,1978-09-13,1978-09-23,3.91,101660000,Greta_1978-09-13,1956;1966;1970,yes;no;yes
David,August,25,September,8,1979,5,175,280,924,27.29,"The Caribbean, United States East coast",2,0,5,0,2068,1540000000,1979-08-25,1979-09-08,3.51,5405400000,David_1979-08-25,,
Frederic,August,29,September,15,1979,4,130,215,943,27.85,"The Caribbean, Southeastern United States",0,4,1,0,12,1700000000,1979-08-29,1979-09-15,3.51,5967000000,Frederic_1979-08-29,,
Allen,July,31,August,11,1980,5,190,305,899,26.55,"The Caribbean, Yucatán Peninsula, Mexico, South Texas",0,3,5,5,269,1240000000,1980-07-31,1980-08-11,3.09,3831600000,Allen_1980-07-31,,
Alicia,August,15,August,21,1983,3,115,185,963,28.44,"Eastern Texas, Louisiana",0,3,0,0,21,3000000000,1983-08-15,1983-08-21,2.56,7680000000,Alicia_1983-08-15,,
Elena,August,28,September,4,1985,3,125,205,953,28.14,"Cuba, United States Gulf Coast",0,3,TS,0,9,1300000000,1985-08-28,1985-09-04,2.37,3081000000,Elena_1985-08-28,1965;1979,no;yes
Gloria,September,16,October,2,1985,4,145,230,919,27.14,"United States East Coast, Atlantic Canada",2,0,0,0,9,900000000,1985-09-16,1985-10-02,2.37,2133000000,Gloria_1985-09-16,1976;1979,no;no
Gilbert,September,8,September,19,1988,5,185,295,888,26.22,"Jamaica, Venezuela, Central America, Hispaniola, Mexico",0,0,4,5,318,2980000000,1988-09-08,1988-09-19,2.16,6436800000,Gilbert_1988-09-08,,
Joan,October,11,November,2,1988,4,145,230,932,27.52,"Lesser Antilles, Colombia, Venezuela, Central America",0,0,TS,4,216,2000000000,1988-10-11,1988-11-02,2.16,4320000000,Joan_1988-10-11,,
Hugo,September,9,September,25,1989,5,160,260,918,27.11,"The Caribbean, United States East Coast",4,0,4,0,49,9700000000,1989-09-09,1989-09-25,2.06,19982000000,Hugo_1989-09-09,,
Diana,August,4,August,9,1990,2,100,165,980,28.94,"Yucatán Peninsula, Central Mexico",0,0,0,2,96,90000000,1990-08-04,1990-08-09,1.95,175500000,Diana_1990-08-04,1984,yes
Klaus,October,3,October,9,1990,1,80,130,985,29.09,"Lesser Antilles, The Bahamas, Southeast United States",0,0,1,0,11,1000000,1990-10-03,1990-10-09,1.95,1950000,Klaus_1990-10-03,1984,yes
Bob,August,16,August,20,1991,3,115,185,950,28.06,"United States East Coast, Canada",2,0,0,0,17,1500000000,1991-08-16,1991-08-20,1.87,2805000000,Bob_1991-08-16,1979;1985,yes;yes
Andrew,August,16,August,28,1992,5,175,280,922,27.23,"The Bahamas, Florida, United States Gulf Coast",0,4,5,0,65,27300000000,1992-08-16,1992-08-28,1.82,49686000000,Andrew_1992-08-16,1986,no
Luis,August,27,September,11,1995,4,140,220,935,27.61,"Leeward Islands, Puerto Rico, Bermuda",0,0,4,0,19,2500000000,1995-08-27,1995-09-11,1.67,4175000000,Luis_1995-08-27,,
Marilyn,September,12,September,22,1995,3,115,185,949,28.02,"The Caribbean, Bermuda",0,0,2,0,8,2100000000,1995-09-12,1995-09-22,1.67,3507000000,Marilyn_1995-09-12,,
Opal,September,27,October,6,1995,4,150,240,916,27.05,"Guatemala, Yucatán Peninsula, Eastern United States",0,3,0,TS,59,4700000000,1995-09-27,1995-10-06,1.67,7849000000,Opal_1995-09-27,,
Roxanne,October,7,October,21,1995,3,115,185,956,28.23,Mexico,0,0,0,3,14,1500000000,1995-10-07,1995-10-21,1.67,2505000000,Roxanne_1995-10-07,,
Cesar,July,24,July,29,1996,1,85,140,985,29.09,"Central America, Mexico",0,0,0,1,113,203000000,1996-07-24,1996-07-29,1.63,330890000,Cesar_1996-07-24,1984;1990,no;no
Fran,August,23,September,8,1996,3,120,195,946,27.94,Eastern United States,3,0,0,0,26,5000000000,1996-08-23,1996-09-08,1.63,8150000000,Fran_1996-08-23,1973;1984;1990,no;yes;yes
